0,1,0,0,0,0,0,S Aux Verb O1 O2 P O3 ,0,0,0,0,0,0
0,0,0,1,0,0,0,Aux S Verb O1 ,0,0,0,0,0,0
0,1,0,0,0,0,1,O2[+WH] Aux S Not Verb O1 P O3 ,0,0,0,0,0,0
1,0,0,0,1,0,0,O3 S Aux Not Verb O1 O2 P ,0,0,0,1,0,0
0,0,0,0,0,0,0,S Aux Not Verb O1 O2 Adv ,0,0,0,0,0,0
0,1,0,0,0,0,0,S Aux Not Verb O1 O2 P O3 ,0,0,0,0,0,0
0,1,0,0,0,0,1,S[+WH] Aux Never Verb P O3 Adv ,0,1,0,0,0,0
0,0,0,0,0,0,0,O3 S Aux Verb P ,0,1,0,1,0,0
0,0,0,0,0,0,0,O3 S Verb P ,0,0,0,1,0,0
0,1,0,0,0,0,1,S[+WH] Aux Not Verb O1 O2 P O3 Adv ,0,0,0,0,0,0
0,0,0,0,0,0,0,O3 S Verb P Adv ,0,0,0,1,0,0
0,1,0,0,0,0,0,Adv S Aux Not Verb P O3 ,0,1,0,0,0,0
0,0,0,0,0,0,0,S Never Verb O1 ,0,1,0,0,0,1
0,0,0,0,0,0,1,S[+WH] Aux Not Verb O1 O2 Adv ,0,0,0,0,0,0
0,1,0,0,0,0,0,O1 S Aux Never Verb O2 P O3 ,1,0,0,0,0,0
0,0,0,0,0,0,1,O2[+WH] Aux S Not Verb O1 ,0,0,0,0,0,0
0,1,0,0,0,0,0,Adv S Never Verb P O3 ,0,0,0,0,0,0
0,0,0,0,0,0,0,Adv S Never Verb ,0,0,0,0,0,0
0,1,0,0,0,0,0,S Aux Not Verb P O3 ,0,1,0,0,0,0
1,0,0,0,0,0,0,O2 S Aux Verb O1 Adv ,1,0,0,0,0,0
0,1,0,0,0,0,0,S Aux Never Verb O1 P O3 ,0,0,0,0,0,0
0,0,0,0,0,0,1,S[+WH] Aux Never Verb O1 Adv ,0,0,0,0,0,0
0,1,0,0,0,0,0,O1 S Never Verb O2 P O3 ,1,0,0,0,0,0
0,1,0,1,0,0,0,Aux S Not Verb P O3 ,0,1,0,0,0,0
0,0,0,0,0,0,1,O1[+WH] Aux S Not Verb Adv ,0,0,0,0,0,0
0,0,0,0,0,0,0,S Aux Never Verb O1 ,0,0,0,0,0,0
0,1,0,0,0,0,1,Adv[+WH] Aux S Not Verb O1 P O3 ,0,0,0,0,0,0
